subject,start_seconds,end_seconds,n_r_peaks,rr_reference,rr_legacy,rr_fusion,fusion_quality,legacy_error,legacy_abs_error,legacy_within_2,fusion_error,fusion_abs_error,fusion_within_2
bidmc_01,0.0,60.0,93,23.041963982330948,20.0,9.1,0.38968634970005506,-3.041963982330948,3.041963982330948,False,-13.941963982330948,13.941963982330948,False
bidmc_01,30.0,90.0,91,22.027619162627012,23.0,19.56,0.6495599551032906,0.9723808373729881,0.9723808373729881,True,-2.467619162627013,2.467619162627013,False
bidmc_01,60.0,120.0,91,22.02761916262704,23.0,22.94,0.39473031523774177,0.9723808373729597,0.9723808373729597,True,0.9123808373729609,0.9123808373729609,True
bidmc_01,90.0,150.0,92,21.66075144822064,22.0,21.04,0.6273406547947812,0.33924855177935953,0.33924855177935953,True,-0.6207514482206413,0.6207514482206413,True
bidmc_01,120.0,180.0,91,20.833494085602496,22.0,21.72,0.6938786714562231,1.1665059143975043,1.1665059143975043,True,0.8865059143975031,0.8865059143975031,True
bidmc_01,150.0,210.0,91,21.2468425667149,20.0,21.05,0.6585759735732029,-1.2468425667149,1.2468425667149,True,-0.1968425667148992,0.1968425667148992,True
bidmc_01,180.0,240.0,91,21.20608417291777,20.0,21.06,0.7162849676726387,-1.2060841729177696,1.2060841729177696,True,-0.14608417291777087,0.14608417291777087,True
bidmc_01,210.0,270.0,91,20.632776314594487,23.0,20.73,0.730479986731415,2.367223685405513,2.367223685405513,False,0.0972236854055133,0.0972236854055133,True
bidmc_01,240.0,300.0,92,20.57617040493745,22.0,20.46,0.7241171612985202,1.42382959506255,1.42382959506255,True,-0.11617040493744923,0.11617040493744923,True
bidmc_01,270.0,330.0,91,20.40820104253052,20.0,20.86,0.6492405099258678,-0.40820104253052136,0.40820104253052136,True,0.45179895746947807,0.45179895746947807,True
bidmc_01,300.0,360.0,91,20.790110650069085,22.0,20.62,0.7186418221057428,1.209889349930915,1.209889349930915,True,-0.1701106500690841,0.1701106500690841,True
bidmc_01,330.0,390.0,91,21.126928204151568,22.0,20.64,0.697177617744673,0.873071795848432,0.873071795848432,True,-0.48692820415156746,0.48692820415156746,True
bidmc_01,360.0,420.0,91,21.205236719377552,21.0,21.02,0.700819255163584,-0.2052367193775524,0.2052367193775524,True,-0.18523671937755282,0.18523671937755282,True
bidmc_01,390.0,450.0,91,21.429271159874737,23.0,21.5,0.7026079792173354,1.5707288401252626,1.5707288401252626,True,0.0707288401252626,0.0707288401252626,True
bidmc_01,420.0,480.0,90,21.46665247158237,22.0,20.98,0.7400262208312194,0.5333475284176288,0.5333475284176288,True,-0.4866524715823708,0.4866524715823708,True
bidmc_02,0.0,60.0,91,15.806129247168556,18.0,15.96,0.46145516078796267,2.193870752831444,2.193870752831444,False,0.1538707528314447,0.1538707528314447,True
bidmc_02,30.0,90.0,91,15.806129247168556,21.0,16.05,0.8218190415786424,5.193870752831444,5.193870752831444,False,0.24387075283144455,0.24387075283144455,True
bidmc_02,60.0,120.0,91,14.895744580138224,22.0,14.82,0.615407789962282,7.104255419861776,7.104255419861776,False,-0.07574458013822394,0.07574458013822394,True
bidmc_02,90.0,150.0,91,15.416254721525073,21.0,15.1,0.7155186900510286,5.583745278474927,5.583745278474927,False,-0.3162547215250733,0.3162547215250733,True
bidmc_02,120.0,180.0,91,15.222773041918376,22.0,15.9,0.6402660400600813,6.777226958081624,6.777226958081624,False,0.6772269580816239,0.6772269580816239,True
